CETCode,College,Location,Branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,,,,
E005,R. V. College of Engineering,"Mysore Rd,Bengaluru",EC,1640,--,4594,2077,7700,2988,1564,--,--,1505,--,--,2044,--,3503,710,1784,1369,11485,32868,25461,3071,--,--,,,,
E005,R. V. College of Engineering,"Mysore Rd,Bengaluru",EE,--,--,--,5955,--,--,4725,--,--,2912,--,--,5393,--,--,2367,9441,5140,7551,--,--,10217,--,10619,,,,
E005,R. V. College of Engineering,"Mysore Rd,Bengaluru",EI,14421,--,--,14978,--,20763,12569,--,--,5982,--,--,6756,27389,--,5850,--,17227,51601,--,57946,--,--,--,,,,
E005,R. V. College of Engineering,"Mysore Rd,Bengaluru",IE,1703,11540,--,2165,--,--,2228,--,--,1274,--,4426,1506,--,--,522,--,2170,16916,--,--,--,--,--,,,,
E005,R. V. College of Engineering,"Mysore Rd,Bengaluru",IM,62875,--,--,35792,--,63300,22105,--,--,16421,--,--,25886,--,--,16026,44787,26756,96568,--,--,--,--,--,,,,
E005,R. V. College of Engineering,"Mysore Rd,Bengaluru",ME,4337,--,--,6684,--,8109,8035,22697,15969,7207,--,--,3226,--,6453,3032,17789,5577,13404,--,15368,15813,--,--,,,,
E005,R. V. College of Engineering,"Mysore Rd,Bengaluru",SE,3327,--,--,3396,--,20144,12097,--,--,1494,--,--,--,--,--,1339,3354,3033,12608,--,33231,6721,--,--,,,,
E005,R. V. College of Engineering,"Mysore Rd,Bengaluru",TC,15929,--,--,8997,--,--,9214,--,--,10013,16947,14129,7807,--,--,6021,10629,7527,38218,--,--,--,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E006,M S Ramaiah Institute of Technology,"MSRIT Post,Bengaluru",BT,35389,--,--,20021,--,34559,16682,--,--,17459,--,--,23085,--,--,11829,30896,12333,71539,--,77255,36932,--,--,,,,
E006,M S Ramaiah Institute of Technology,"MSRIT Post,Bengaluru",CE,25181,--,--,29237,--,30155,17256,--,30931,23334,--,--,18467,--,--,16115,17439,22898,26573,29779,38368,17618,--,--,,,,
E006,M S Ramaiah Institute of Technology,"MSRIT Post,Bengaluru",CH,14983,--,--,41277,--,42413,63320,--,--,11712,--,--,26762,--,--,11670,--,23555,40574,--,74716,33011,--,--,,,,
E006,M S Ramaiah Institute of Technology,"MSRIT Post,Bengaluru",CS,3164,--,4395,2390,--,5408,2190,--,--,1419,--,--,2126,--,4606,1074,1739,3716,11645,17142,13469,7872,--,--,,,,
E006,M S Ramaiah Institute of Technology,"MSRIT Post,Bengaluru",EC,4685,--,--,4642,5160,4699,2896,--,--,2867,--,4059,2771,--,--,2446,3381,3985,13780,--,33604,11958,--,--,,,,
E006,M S Ramaiah Institute of Technology,"MSRIT Post,Bengaluru",EE,16528,--,--,7315,--,24970,11782,--,--,8616,--,--,9515,--,--,5579,16813,6139,24237,--,43003,--,--,--,,,,
E006,M S Ramaiah Institute of Technology,"MSRIT Post,Bengaluru",EI,13789,--,--,29347,--,--,25494,--,--,13425,--,--,19128,39337,--,11449,--,17600,137801,--,--,--,--,112943,,,,
E006,M S Ramaiah Institute of Technology,"MSRIT Post,Bengaluru",IE,3604,--,--,5023,--,9966,4502,--,8135,3490,9759,--,3279,--,6499,1942,6664,4482,21655,--,44178,17255,--,--,,,,
E006,M S Ramaiah Institute of Technology,"MSRIT Post,Bengaluru",IM,72538,--,--,26530,--,--,76671,--,--,23853,--,92424,30652,--,--,21179,68181,29455 108740,,--,--,--,--,--,,,,
E006,M S Ramaiah Institute of Technology,"MSRIT Post,Bengaluru",MD,25918,--,--,26091,--,--,34184,--,--,23556,--,24517,41453,--,--,19765,33518,21878,71962,--,--,90951,--,--,,,,
E006,M S Ramaiah Institute of Technology,"MSRIT Post,Bengaluru",ME,30843,--,56796,22459,37380,23984,27352,--,46130,11648,--,--,17052,--,28095,8578,13881,21429,44549,72672,54732,41990,--,--,,,,
E006,M S Ramaiah Institute of Technology,"MSRIT Post,Bengaluru",TC,20527,55694,--,24526,--,26843,69096,--,--,17846,--,--,12695,--,--,10493,20096,12646,45604,--,--,--,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",AE,9660,--,--,16295,--,--,11264,--,--,11728,--,--,8614,--,--,7531,17150,15406,24651,--,--,--,--,23191,,,,
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",AU,126519,--,--,83588,--,--,84334,--,--,49453,--,--,65524,--,--,37297,--,91782,125816,--,--,--,--,--,,,,
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",BT,35429,--,--,28946,--,68643,55536,--,--,22902,--,--,27564,--,--,22272,34285,49015,91660,--,136122,--,--,--,,,,
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",CE,37996,--,47821,47827,80308,65176,48995,--,84141,35620,--,--,36524,--,47801,31920,35217,45901,68276,69426,86576,44329,--,--,,,,
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",CH,--,--,--,54119,--,121198 59110,,--,--,44580,--,--,33401,89049,--,27789,--,33019,78467,--,140189 60169,,--,--,,,,
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",CS,9420,--,15899,8878,10359,13145,5988,--,--,4752,--,9163,5008,--,8190,4483,7367,8080,26413,36843,38831,17434,--,--,,,,
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",CT,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,140035,--,--,--,--,--,--,--,--,,,,
