CETCode,College,Location,Branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR,,,,
E046,H K Es S L N College of Engineering," Yeramarus Camp, Raichur",EC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,128428,--,--,--,--,--,--,--,--,,,,
E046,H K Es S L N College of Engineering," Yeramarus Camp, Raichur",ME,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E047,Malnad College of Engineering,"Rangoli Halla, Hassan",AU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,134314,--,--,--,--,--,--,--,--,,,,
E047,Malnad College of Engineering,"Rangoli Halla, Hassan",CE,139940,--,--,138351,--,--,77785,--,--,41010,--,--,64144,--,--,40524,60802,58562,76400,--,118711,103652,135000,--,,,,
E047,Malnad College of Engineering,"Rangoli Halla, Hassan",CS,36152,--,51076,27240,30688,31111,22646,--,32310,16345,--,--,18917,--,22015,14625,29634,19091,82949,121479,94964,45110,--,--,,,,
E047,Malnad College of Engineering,"Rangoli Halla, Hassan",EC,--,--,--,31222,--,--,--,--,--,--,--,--,--,--,--,13396,20819,18123,32015,--,--,15468,--,85206,,,,
E047,Malnad College of Engineering,"Rangoli Halla, Hassan",EE,42384,--,--,43317,--,72925,52574,--,--,42195,--,--,34178,--,--,33514,34255,48508,54919,--,93804,--,--,--,,,,
E047,Malnad College of Engineering,"Rangoli Halla, Hassan",EI,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,134038,--,--,--,--,--,--,--,--,,,,
E047,Malnad College of Engineering,"Rangoli Halla, Hassan",IE,31425,--,--,32721,--,37300,30604,--,--,21293,24944,--,22669,--,--,21152,--,23445,86598,--,--,--,--,--,,,,
E047,Malnad College of Engineering,"Rangoli Halla, Hassan",IP,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,138293,--,--,--,--,--,--,--,--,,,,
E047,Malnad College of Engineering,"Rangoli Halla, Hassan",ME,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,129308,--,--,--,--,--,--,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E048,B M S College of Engineering," Basavanagudi,Bengaluru",BT,14052,--,--,19697,--,32333,31785,--,--,19871,--,--,14075,--,--,13533,--,29032,96847,--,--,48009,--,--,,,,
E048,B M S College of Engineering," Basavanagudi,Bengaluru",CE,31090,--,49221,34591,44281,--,26745,--,--,22206,--,--,26636,--,--,18024,20700,28409,41475,--,70841,25285,--,75938,,,,
E048,B M S College of Engineering," Basavanagudi,Bengaluru",CH,19563,--,--,52296,68411,--,36670,--,--,19655,--,--,35495,--,--,18652,--,30048,49049,--,96184,--,--,--,,,,
E048,B M S College of Engineering," Basavanagudi,Bengaluru",CS,1714,--,3205,2463,4675,3777,3175,--,18586,1479,--,--,1326,--,2664,911,2376,1617,5972,28074,20415,5070,--,--,,,,
E048,B M S College of Engineering," Basavanagudi,Bengaluru",EC,6251,--,--,4729,--,8615,3999,--,12122,3201,--,--,3224,--,--,2498,9989,5131,21569,57569,30447,15560,--,--,,,,
E048,B M S College of Engineering," Basavanagudi,Bengaluru",EI,15765,--,--,31901,--,43361,40744,--,--,14126,--,--,23912,37750,--,11847,--,18271,79287,--,--,--,--,--,,,,
E048,B M S College of Engineering," Basavanagudi,Bengaluru",IE,4891,--,6394,4168,8388,4588,4797,--,--,2812,--,5026,2686,--,4813,1628,5123,3445,23389,34714,37950,5362,--,--,,,,
E048,B M S College of Engineering," Basavanagudi,Bengaluru",MD,85967,--,--,34141,--,--,38517,--,--,30352,--,--,32970,--,--,17793,--,44955,61753,--,--,42662,--,--,,,,
E048,B M S College of Engineering," Basavanagudi,Bengaluru",ME,33214,--,--,26258,--,47444,56102,--,--,13782,--,24397,18284,--,--,12728,16668,20246,36458,--,79263,36448,--,--,,,,
E048,B M S College of Engineering," Basavanagudi,Bengaluru",SE,6667,--,--,4710,--,13410,10667,--,--,3915,--,--,5926,--,--,3828,15124,7394,20609,--,25704,11047,--,--,,,,
E048,B M S College of Engineering," Basavanagudi,Bengaluru",TC,--,--,--,17356,--,--,29684,--,--,7561,--,--,17375,--,--,6548,23795,26044,44868,--,75406,15247,--,68268,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E049,Basaveshwara Engineering College,Bagalkot,AU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,137797,--,--,--,--,--,--,--,--,,,,
E049,Basaveshwara Engineering College,Bagalkot,BT,--,--,--,60023,--,109956,--,--,--,--,--,--,63801,--,--,56200,--,61817,130488,--,--,--,--,--,,,,
E049,Basaveshwara Engineering College,Bagalkot,CE,--,--,--,55484,--,--,--,--,--,--,--,--,47437,--,--,40806,48543,58865,82735,--,--,75929,--,--,,,,
E049,Basaveshwara Engineering College,Bagalkot,CS,39808,--,--,24197,--,--,35928,--,--,32882,--,--,--,--,--,20988,--,25060,65848,--,--,--,--,59860,,,,
E049,Basaveshwara Engineering College,Bagalkot,EC,36602,--,--,27771,--,--,40352,--,--,27077,--,49324,--,--,--,25425,26204,34320,60938,--,--,78394,--,--,,,,
E049,Basaveshwara Engineering College,Bagalkot,EI,--,--,--,72273,--,--,133281,--,--,119799,--,--,--,--,--,64603,--,111221,--,--,--,--,--,--,,,,
E049,Basaveshwara Engineering College,Bagalkot,IE,42679,--,--,36817,--,122840,69457,--,--,36373,77673,--,33297,--,--,32542,46975,53616,119461,--,--,96610,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E053,N M A M Institutute of Technology,"Nitte, Karkala, Udupi ",BT,--,--,--,74329,--,--,57676,--,--,59251,--,--,64664,--,--,51302,75343,104763,125033,--,--,--,--,--,,,,
E053,N M A M Institutute of Technology,"Nitte, Karkala, Udupi ",CE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,140158,--,--,--,--,--,--,--,--,,,,
E053,N M A M Institutute of Technology,"Nitte, Karkala, Udupi ",CS,10628,--,--,10656,14907,13718,11739,--,--,20158,--,--,7050,--,10211,4848,8030,8519,44286,48674,111377,10069,--,--,,,,
E053,N M A M Institutute of Technology,"Nitte, Karkala, Udupi ",EC,18847,--,--,16175,23115,29923,44610,--,--,21571,--,--,15561,--,16469,10839,18193,13228,74161,114749,120299,31814,--,64607,,,,
E053,N M A M Institutute of Technology,"Nitte, Karkala, Udupi ",EE,--,--,--,122479,--,--,57996,--,--,74967,--,--,52665,--,--,45340,94532,130757,111333,--, --,138578,--,--,,,,
E053,N M A M Institutute of Technology,"Nitte, Karkala, Udupi ",IE,17944,34579,20085,16850,--,19762,21290,--,28875,19311,--,24952,11960,33026,--,9189,11759,13107,76941,--,134009,23053,--,--,,,,
E053,N M A M Institutute of Technology,"Nitte, Karkala, Udupi ",ME,--,--,--,--,--,--,128003,--,--,--,--,--,--,--,--,122207,--,--,138449,--,--,--,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E054,K V G College of Engineering,"Sullia, Dakshina Kannada",CE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,
E054,K V G College of Engineering,"Sullia, Dakshina Kannada",CS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,127168,--,--,--,--,--,--,--,--,,,,
E054,K V G College of Engineering,"Sullia, Dakshina Kannada",EC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,96098,--,--,--,--,--,--,--,--,,,,
E054,K V G College of Engineering,"Sullia, Dakshina Kannada",EE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,
E054,K V G College of Engineering,"Sullia, Dakshina Kannada",ME,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,133182,--,--,--,--,--,--,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E055,P A College of Engineering,"Bantwal, Dakshina Kannada",BT,--,--,--,--,--,--,104295,--,--,--,--,--,--,--,--,102823,--,--,119160,--,--,--,--,--,,,,
E055,P A College of Engineering,"Bantwal, Dakshina Kannada",CE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,121301,--,--,--,--,--,--,--,--,,,,
E055,P A College of Engineering,"Bantwal, Dakshina Kannada",CS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,137102,--,--,--,--,--,--,--,--,,,,
E055,P A College of Engineering,"Bantwal, Dakshina Kannada",EC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,127016,--,--,--,--,--,--,--,--,,,,
E055,P A College of Engineering,"Bantwal, Dakshina Kannada",EE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,69829,--,--,--,--,--,--,--,--,,,,
E055,P A College of Engineering,"Bantwal, Dakshina Kannada",ME,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E056,The National Institute of Engineering,"Manandavadi Road, Mysore",CS,6124,--,9266,7170,--,17047,6738,--,--,3935,--,--,4736,--,6924,3173,7687,4560,24288,42973,54208,21463,--,--,,,,
E056,The National Institute of Engineering,"Manandavadi Road, Mysore",EC,--,--,--,10774,--,12429,9030,--,--,6376,--,--,6456,--,--,6296,--,9409,29225,--,91775,16356,71068,--,,,,
E056,The National Institute of Engineering,"Manandavadi Road, Mysore",EE,28917,--,--,20416,--,37229,24965,--,--,15915,--,--,14605,--,--,13391,36353,16564,41469,--,--,--,--,--,,,,
E056,The National Institute of Engineering,"Manandavadi Road, Mysore",IE,18321,--,--,10682,--,17166,7398,--,--,6828,10747,--,6040,--,--,5723,7825,8302,38101,--,--,16238,--,30551,,,,
E056,The National Institute of Engineering,"Manandavadi Road, Mysore",ME,36976,--,--,40918,--,44411,23280,--,--,30628,--,--,23833,--,--,20068,28237,43141,85200,--,--,--,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E057,JSS Science and Technology University(Formerly SJCE),"University Of Mysore Campus, Mysore",BT,--,--,--,33205,--,113298,--,--,--,--,101607,--,--,--,--,20292,--,54650,98773,129541,--,117255,--,--,,,,
E057,JSS Science and Technology University(Formerly SJCE),"University Of Mysore Campus, Mysore",CB,13698,--,--,13667,--,--,10365,--,--,7438,--,--,4648,--,--,4480,18310,14567,79604,--,97226,--,--,--,,,,
E057,JSS Science and Technology University(Formerly SJCE),"University Of Mysore Campus, Mysore",CE,46951,--,--,39826,--,--,28793,--,--,24733,--,--,33837,--,--,24676,79788,43853,32839,--,--,33353,--,--,,,,
E057,JSS Science and Technology University(Formerly SJCE),"University Of Mysore Campus, Mysore",CS,7821,14757,--,5844,--,6213,4415,--,--,3643,--,--,3862,--,--,2437,6434,3876,19277,--,40527,8002,--,19440,,,,
E057,JSS Science and Technology University(Formerly SJCE),"University Of Mysore Campus, Mysore",CT,--,--,--,114377,--,--,113663,--,--,101963,--,--,82217,--,--,62010,--,99652,90813,--,--,99198,--,--,,,,
E057,JSS Science and Technology University(Formerly SJCE),"University Of Mysore Campus, Mysore",EC,--,--,--,10225,--,10781,6951,--,--,5189,--,--,5944,--,--,4182,6451,5425,20748,--,--,--,--,--,,,,
E057,JSS Science and Technology University(Formerly SJCE),"University Of Mysore Campus, Mysore",IE,--,--,--,6291,--,8198,26450,--,--,5940,--,--,4521,--,--,3693,--,4657,30988,--,--,--,--,--,,,,
E057,JSS Science and Technology University(Formerly SJCE),"University Of Mysore Campus, Mysore",ME,--,--,--,47665,--,--,,--,--,22003,--,--,23129,--,--,18061,39088,37840,105849,--,--,--,--,--,,,,
,,,,,,,,,,,--,,,,,,,,,,,,,,,,,,,,
E058,P E S College of Engineering,"P.E.S. Engineering College Road, Mandya",AU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,127148,--,--,--,--,--,--,--,--,,,,
E058,P E S College of Engineering,"P.E.S. Engineering College Road, Mandya",CE,--,--,--,57883,--,--,--,--,--,48683,--,--,--,--,--,47119,--,55247,76753,--,--,137345,--,--,,,,
E058,P E S College of Engineering,"P.E.S. Engineering College Road, Mandya",CS,38289,--,41747,28766,29821,29655,34697,--,--,20237,--,--,24884,--,37510,20050,29124,27759,44501,--,71694,25667,--,--,,,,
E058,P E S College of Engineering,"P.E.S. Engineering College Road, Mandya",EC,54539,--,--,48471,--,119219,54274,--,--,29269,--,--,30090,--,--,28169,39405,34843,51520,55475,72504,41934,--,--,,,,
E058,P E S College of Engineering,"P.E.S. Engineering College Road, Mandya",EE,--,--,--,72755,--,--,--,115557,54250,--,--,--,--,--,--,32675,--,--,54768,--,--,57253,--,--,,,,
E058,P E S College of Engineering,"P.E.S. Engineering College Road, Mandya",IE,47844,--,--,46479,--,76282,33950,--,--,28622,35412,--,29078,--,--,25420,--,31175,87069,--,--,--,--,--,,,,
E058,P E S College of Engineering,"P.E.S. Engineering College Road, Mandya",ME,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,137210,--,--,--,--,--,--,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E059,P D A College of Engineering,"Shambhognlli, Gulbarga",AU,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,138196,--,--,--,--,--,--,--,--,,,,
E059,P D A College of Engineering,"Shambhognlli, Gulbarga",CE,58257,--,--,65315,--,--,--,--,--,--,--,--,62647,--,--,48737,--,43887,60349,--,86745,--,--,--,,,,
E059,P D A College of Engineering,"Shambhognlli, Gulbarga",CR,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,132377,--,--,--,--,--,--,--,--,,,,
E059,P D A College of Engineering,"Shambhognlli, Gulbarga",CS,38735,--,--,33997,--,--,--,--,--,--,--,--,30936,--,--,19413,28174,31788,48268,--,97865,--,--,--,,,,
E059,P D A College of Engineering,"Shambhognlli, Gulbarga",EC,--,--,--,67777,98231,--,--,--,--,78594,--,--,--,--,--,37022,--,60394,99189,--,--,--,--,--,,,,
E059,P D A College of Engineering,"Shambhognlli, Gulbarga",EE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,36929,--,--,--,--,--,53256,--,--,,,,
E059,P D A College of Engineering,"Shambhognlli, Gulbarga",EI,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,133889,--,--,--,--,--,--,--,--,,,,
E059,P D A College of Engineering,"Shambhognlli, Gulbarga",IE,--,--,--,60139,--,--,--,--,120895,72986,--,--,--,79809,--,42289,--,--,107030,--,--,--,--,--,,,,
E059,P D A College of Engineering,"Shambhognlli, Gulbarga",IP,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,140468,--,--,--,--,--,--,--,--,,,,
E059,P D A College of Engineering,"Shambhognlli, Gulbarga",ME,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,57309,--,--,--,--,--,82665,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E060,Dr. Ambedkar Institute Of Technology,"Jnanabharathi Campus, Bengaluru",CE,54238,--,--,60593,--,--,130572,--,--,58417,--,--,--,--,--,46070,54810,65334,62985,--,--,--,--,93055,,,,
E060,Dr. Ambedkar Institute Of Technology,"Jnanabharathi Campus, Bengaluru",CS,24428,--,--,21806,--,22788,31501,--,--,15860,--,22753,17758,--,--,15362,19267,21376,41019,76662,44593,44656,--,--,,,,
E060,Dr. Ambedkar Institute Of Technology,"Jnanabharathi Campus, Bengaluru",EC,26849,--,--,22989,23539,32760,25105,--,--,19934,--,--,22394,--,--,18885,--,23255,43752,--,66460,28937,--,--,,,,
E060,Dr. Ambedkar Institute Of Technology,"Jnanabharathi Campus, Bengaluru",IE,18363,--,--,26006,--,40547,33415,--,--,20233,--,--,18979,--,--,17901,--,19049,42502,--,77354,53211,73049,--,,,,
E060,Dr. Ambedkar Institute Of Technology,"Jnanabharathi Campus, Bengaluru",MD,--,--,--,65328,--,--,--,--,--,--,--,--,--,--,--,46790,--,55203,103551,--,--,122859,--,--,,,,
E060,Dr. Ambedkar Institute Of Technology,"Jnanabharathi Campus, Bengaluru",ME,100736,--,--,69588,--,114132,--,--,--,61230,--,--,55843,--,--,55186,--,78873,136609,--,--,86074,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E061,University B.D.T. college of Engineering,Davangere,CE,43656,--,76214,58454,--,61641,48590,--,--,47841,--,--,38297,--,--,34312,39306,43638,57813,91132,59826,44030,--,--,,,,
E061,University B.D.T. college of Engineering,Davangere,CS,30346,--,--,27017,29403,31636,25483,--,49012,23602,--,--,22149,--,26663,20029,20315,24558,53336,55715,58092,21942,--,--,,,,
E061,University B.D.T. college of Engineering,Davangere,EC,39398,--,--,35808,--,39217,32629,--,--,28548,--,41666,27573,43524,30638,23157,27482,30632,59729,--,72272,35200,--,--,,,,
E061,University B.D.T. college of Engineering,Davangere,EE,30405,64471,45224,38431,--,41330,29578,--,52206,47963,--,--,32924,--,--,28058,34889,40140,44482,--,59396,30589,--,--,,,,
E061,University B.D.T. college of Engineering,Davangere,EI,74149,--,--,119178,--,128747,99330,--,--,121631,--,--,72464,--,--,67528,68355,78622,131177,--,139115,104954,--,119414,,,,
E061,University B.D.T. college of Engineering,Davangere,IP,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,140860,--,--,--,--,--,--,--,--,,,,
E061,University B.D.T. college of Engineering,Davangere,ME,78346,--,--,67447,--,80947,103217,--,--,54248,105766,--,52171,--,78331,47092,67474,68492,88927,--,89047,74639,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E062,Bapuji Institute of Engineering and Technology,"BIET, Davanagere",BT,--,--,--,88368,--,--,--,--,--,54141,--,--,--,--,--,44212,53558,72726,79316,--,--,140067,--,--,,,,
E062,Bapuji Institute of Engineering and Technology,"BIET, Davanagere",CE,57984,--,--,100735,--,129846,82612,--,--,51746,--,--,53025,--,63623,46132,62654,51557,73720,130744,124597,61650,--,--,,,,
E062,Bapuji Institute of Engineering and Technology,"BIET, Davanagere",CH,--,--,--,75621,--,--,74569,--,--,--,--,--,--,--,--,42961,--,82750,131446,--,--,--,--,--,,,,
E062,Bapuji Institute of Engineering and Technology,"BIET, Davanagere",CS,32055,--,--,24028,--,28116,20066,--,46103,33735,--,--,19320,29382,--,16752,26455,22224,60321,--,99087,21203,--,--,,,,
E062,Bapuji Institute of Engineering and Technology,"BIET, Davanagere",EC,35616,--,--,41537,--,44970,38871,--,90278,24908,--,--,26497,--,33922,22338,23319,33278,81700,--,90774,36774,--,--,,,,
E062,Bapuji Institute of Engineering and Technology,"BIET, Davanagere",EE,39725,--,--,47448,--,--,41122,--,--,33526,--,--,37843,--,--,31648,49417,54315,47807,--,105083,--,--,--,,,,
E062,Bapuji Institute of Engineering and Technology,"BIET, Davanagere",EI,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,126085,--,--,--,--,--,--,--,--,,,,
E062,Bapuji Institute of Engineering and Technology,"BIET, Davanagere",IE,39134,--,--,44676,58310,68518,33617,--,--,40508,--,136644,36210,--,--,31781,33892,42840,106945,--,--,48766,--,--,,,,
E062,Bapuji Institute of Engineering and Technology,"BIET, Davanagere",ME,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,140001,--,--,--,--,--,--,--,--,,,,
E062,Bapuji Institute of Engineering and Technology,"BIET, Davanagere",TX,140137,--,--,140741,--,--,--,--,--,125877,--,--,118082,--,--,106159,--,106888, --,--,--,117062,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E063,S J M Institute of Technology,"Hanumantha Nagara, Chitradurga",CE,131201,--,--,--,--,--,134713,--,--,--,--,--,--,--,--,128289,--,140161,138210,--,--,--,--,--,,,,
E063,S J M Institute of Technology,"Hanumantha Nagara, Chitradurga",CS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,140853,--,--,--,--,--,--,--,--,,,,
E063,S J M Institute of Technology,"Hanumantha Nagara, Chitradurga",EC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,139028,--,--,--,--,--,--,--,--,,,,
E063,S J M Institute of Technology,"Hanumantha Nagara, Chitradurga",EE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,125854,--,--,--,--,--,--,--,--,,,,
E063,S J M Institute of Technology,"Hanumantha Nagara, Chitradurga",ME,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,134740,--,--,--,--,--,--,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E064,Adhichunchanagiri Institute of Technology,"Jyothi nagara, Chikkamagaluru ",CE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,139249,--,--,--,--,--,--,--,--,,,,
E064,Adhichunchanagiri Institute of Technology,"Jyothi nagara, Chikkamagaluru ",CS,65242,--,--,61237,--,67556,45884,--,--,31769,--,--,29977,--,46739,29449,39503,40761,86401,--,107112,79790,--,--,,,,
E064,Adhichunchanagiri Institute of Technology,"Jyothi nagara, Chikkamagaluru ",EC,65298,--,--,87071,--,--,88198,--,--,68930,--,--,66769,--,--,56915,58217,91805,98969,--,--,92999,--,--,,,,
E064,Adhichunchanagiri Institute of Technology,"Jyothi nagara, Chikkamagaluru ",EE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,131312,--,--,--,--,--,--,--,--,,,,
E064,Adhichunchanagiri Institute of Technology,"Jyothi nagara, Chikkamagaluru ",IE,127801,--,--,65218,--,--,62076,--,--,42916,--,56709,42518,--,--,38774,41693,42639,129401,--,--,121911,--,--,,,,
E064,Adhichunchanagiri Institute of Technology,"Jyothi nagara, Chikkamagaluru ",ME,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,138169,--,--,--,--,--,--,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E065,Jawaharlal Nehru National College of Engineering,"Navule, Shivamogga",CE,110446,--,--,135894,--,--,85215,--,--,91279,--,--,117660,--,--,84137,128502,114341,132670,--,--,114188,--,--,,,,
E065,Jawaharlal Nehru National College of Engineering,"Navule, Shivamogga",CS,18461,--,31986,19207,43667,26675,24435,--,--,15931,--,--,16049,--,22079,15430,39089,21784,48782,--,106983,31616,--,--,,,,
E065,Jawaharlal Nehru National College of Engineering,"Navule, Shivamogga",EC,32885,--,--,36246,--,38585,50620,--,--,36051,--,--,28017,50839,--,27089,38123,35293,56567,--,73976,37767,--,--,,,,
E065,Jawaharlal Nehru National College of Engineering,"Navule, Shivamogga",EE,42622,--,--,51223,--,52397,101306,--,--,--,--,--,49616,--,--,36955,42567,41993,98033,--,--,57285,--,--,,,,
E065,Jawaharlal Nehru National College of Engineering,"Navule, Shivamogga",IE,52766,--,--,37886,58545,37911,41632,--,46075,33537,--,--,32433,--,42933,29470,41390,30830,93612,137329,--,67945,--,--,,,,
E065,Jawaharlal Nehru National College of Engineering,"Navule, Shivamogga",ME,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,138793,--,--,--,--,--,--,--,--,,,,
E065,Jawaharlal Nehru National College of Engineering,"Navule, Shivamogga",TC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,128157,--,--,--,--,--,--,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E070,Bahubali College of Engineering," Gommatanagar,Hassan",CE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,
E070,Bahubali College of Engineering," Gommatanagar,Hassan",CS,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,107444,--,--,--,--,--,--,--,--,,,,
E070,Bahubali College of Engineering," Gommatanagar,Hassan",EC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,111456,--,--,--,--,--,--,--,--,,,,
E070,Bahubali College of Engineering," Gommatanagar,Hassan",IE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,136787,--,--,--,--,--,--,--,--,,,,
E070,Bahubali College of Engineering," Gommatanagar,Hassan",ME,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E071,Vidya Vardhaka College of Engineering,"Gokulam, Mysore",CE,48434,--,--,45983,--,47617,48175,--,--,42852,--,--,48942,--,--,38236,41570,46243,52904,--,87126,--,--,--,,,,
E071,Vidya Vardhaka College of Engineering,"Gokulam, Mysore",CS,21919,--,30594,23893,24012,59582,21118,--,22550,14623,--,--,16893,--,28959,12980,13302,20047,48742,58233,96550,19078,--,--,,,,
E071,Vidya Vardhaka College of Engineering,"Gokulam, Mysore",EC,39628,--,--,43001,86021,85289,42654,--,--,26820,--,32578,27083,--,--,24349,46724,32095,42046,72603,70100,26360,--,50499,,,,
E071,Vidya Vardhaka College of Engineering,"Gokulam, Mysore",EE,36917,--,--,38402,--,46768,30016,--,--,28680,--,--,30612,84582,--,28025,28715,32367,54818,--,56588,--,--,--,,,,
E071,Vidya Vardhaka College of Engineering,"Gokulam, Mysore",IE,32407,--,--,37323,--,58157,28465,--,--,23452,--,35601,24329,--,--,21902,26396,32437,64258,--,90148,22747,--,--,,,,
E071,Vidya Vardhaka College of Engineering,"Gokulam, Mysore",ME,119427,--,120465,102443,--,135719,110120,--,--,77481,--,--,91907,--,127215,66956,94022,98761,121589,--,130312,71925,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E075,Ballari Institute of Technology and Management,"Near Allipur, Bellary",CE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,140693,--,--,--,--,--,--,--,--,,,,
E075,Ballari Institute of Technology and Management,"Near Allipur, Bellary",CS,78916,--,--,66469,--,--,35504,--,--,36463,--,--,45075,--,--,31801,--,50575,76193,119472,--,--,--,--,,,,
E075,Ballari Institute of Technology and Management,"Near Allipur, Bellary",EC,96975,--,--,134294,--,--,89229,--,--,60806,--,--,77545,--,--,50866,88748,112152,139984,--,--,--,--,--,,,,
E075,Ballari Institute of Technology and Management,"Near Allipur, Bellary",EE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,140798,--,--,--,--,--,--,--,--,,,,
E075,Ballari Institute of Technology and Management,"Near Allipur, Bellary",ME,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,137607,--,--,--,--,--,--,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E076,Proudadevaraya Institute of Technology,"Hosapete,Ballari",CE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,140357,--,--,--,--,--,--,--,--,,,,
E076,Proudadevaraya Institute of Technology,"Hosapete,Ballari",CS,--,--,--,131017,--,--,--,--,--,108856,--,--,--,--,--,89484,--,--,121451,--,--,--,--,--,,,,
E076,Proudadevaraya Institute of Technology,"Hosapete,Ballari",EC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,128530,--,--,--,--,--,--,--,--,,,,
E076,Proudadevaraya Institute of Technology,"Hosapete,Ballari",EE,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,140013,--,--,--,--,--,--,--,--,,,,
E076,Proudadevaraya Institute of Technology,"Hosapete,Ballari",ME,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,123293,--,--,--,--,--,--,--,--,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E077,Vidya Vikas Institute of Engineering and Technology ,"Alanahally, Mysore",CE,99575,--,--,138353,--,--,103574,--,--,121187,--,--,--,--,--,99057,--,--,124197,--,--,--,--,--,,,,
E077,Vidya Vikas Institute of Engineering and Technology ,"Alanahally, Mysore",CS,82846,--,--,58047,--,74488,54781,--,--,40058,--,--,39909,--,--,39504,--,52876,78148,--,--,--,--,--,,,,
