CETCode,College,Location,Branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
,,,,,,,,,,,,,,,,,,,,,,,,,,,
E001,University Visveswariah College of Engineering,"KR Circle, Bengaluru",CE,36804,47040,0,43840,0,51899,91602,0,96973,33598,0,34687,32491,33667,34703,26570,29178,31330,40912,0,47017,33600,0,35702
E001,University Visveswariah College of Engineering,"KR Circle, Bengaluru",CS,4725,0,14983,4626,12200,7134,5718,0,0,3631,0,0,3674,0,0,2828,4051,5028,16531,29474,24183,12309,0,0
E001,University Visveswariah College of Engineering,"KR Circle, Bengaluru",EC,10614,0,21488,12624,0,12826,7162,0,0,6569,15488,0,6871,0,0,6452,10480,10781,28688,0,29580,10357,0,17029
E001,University Visveswariah College of Engineering,"KR Circle, Bengaluru",EE,24859,0,0,22202,22929,33307,23566,0,0,16824,0,0,16450,0,24305,14804,21042,20836,35662,52780,53579,29087,0,0
E001,University Visveswariah College of Engineering,"KR Circle, Bengaluru",IE,8757,0,0,6820,0,8376,11778,133005,24974,5659,0,8379,5536,0,0,4213,10787,7164,26695,0,27860,14171,0,0
E001,University Visveswariah College of Engineering,"KR Circle, Bengaluru",ME,63886,0,67376,52206,52997,69184,51424,0,0,34467,0,0,34399,0,44497,32725,37764,41942,58561,88175,96466,50405,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
E002,SKSJT Institute of Engineering,"Sampangi Rama Nagar, Bengaluru",CE,80563,0,0,61753,0,88124,102523,0,152887,50494,0,55223,63004,66691,0,48750,50662,54122,68842,0,76822,64504,0,0
E002,SKSJT Institute of Engineering,"Sampangi Rama Nagar, Bengaluru",CS,28528,0,50312,25475,26515,30551,27506,0,0,19810,0,0,21507,0,25351,18033,18995,25024,36509,54749,52452,27243,0,0
E002,SKSJT Institute of Engineering,"Sampangi Rama Nagar, Bengaluru",EC,31599,0,0,37313,40571,44555,49783,0,0,28834,0,0,31595,0,0,26988,33231,31341,45329,0,93728,28574,0,42716
E002,SKSJT Institute of Engineering,"Sampangi Rama Nagar, Bengaluru",ST,0,0,0,75763,0,93965,0,0,0,0,0,0,81929,0,0,67621,0,75169,104361,152109,0,102457,0,0
E002,SKSJT Institute of Engineering,"Sampangi Rama Nagar, Bengaluru",TX,97114,0,0,133465,0,0,122771,0,0,89604,0,0,104928,0,0,81525,84743,89529,122499,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
E003,BMS College of Engineering (Aided),"Basavanagudi, Bengaluru",CE,36187,0,0,33942,0,44893,33570,51687,0,20517,0,31610,23289,0,0,18404,22515,29168,37145,0,38524,21716,0,0
E003,BMS College of Engineering (Aided),"Basavanagudi, Bengaluru",EC,4075,0,0,3784,0,7279,6946,0,0,3104,0,5956,3003,0,6140,1666,4398,5616,17496,0,29643,6046,24887,0
E003,BMS College of Engineering (Aided),"Basavanagudi, Bengaluru",EE,10986,0,0,15463,25591,16675,27023,0,60533,11225,0,0,9599,0,25225,7698,13828,13336,35173,36516,62870,24123,0,0
E003,BMS College of Engineering (Aided),"Basavanagudi, Bengaluru",IM,48804,0,0,135048,0,0,50636,0,0,37436,0,0,51509,0,0,31862,50077,56511,135126,0,0,57798,0,0
E003,BMS College of Engineering (Aided),"Basavanagudi, Bengaluru",ME,11665,0,24401,21418,41603,55985,40430,0,0,13741,0,0,21333,0,33235,10276,32864,23998,51788,0,91832,16371,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
E004,Dr. Ambedkar Institute Of Technology (Aided),"Near Gnana Bharathi, Bengaluru",CE,105832,0,0,70846,91123,87247,87954,0,0,51258,0,0,63576,0,80527,46481,50261,58693,69870,0,78968,68487,0,0
E004,Dr. Ambedkar Institute Of Technology (Aided),"Near Gnana Bharathi, Bengaluru",CS,11130,0,0,14572,0,17041,24748,100141,49768,10134,0,0,10556,0,0,9830,15132,15084,30548,0,42244,20702,0,0
E004,Dr. Ambedkar Institute Of Technology (Aided),"Near Gnana Bharathi, Bengaluru",EC,23133,0,25493,24170,24821,28581,41725,0,0,21534,0,0,23302,0,23920,18193,23784,21736,48518,51357,79402,31562,0,0
E004,Dr. Ambedkar Institute Of Technology (Aided),"Near Gnana Bharathi, Bengaluru",EE,59637,0,0,47171,0,71879,55875,0,0,30753,0,38320,31716,0,0,27185,29136,31737,61651,0,81717,41674,0,0
E004,Dr. Ambedkar Institute Of Technology (Aided),"Near Gnana Bharathi, Bengaluru",EI,106508,0,0,75717,0,0,143436,0,0,78264,0,0,114608,0,0,75615,125943,144950,151097,0,0,119637,0,0
E004,Dr. Ambedkar Institute Of Technology (Aided),"Near Gnana Bharathi, Bengaluru",IM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151566,0,0,0,0,0,0,0,0
E004,Dr. Ambedkar Institute Of Technology (Aided),"Near Gnana Bharathi, Bengaluru",ME,142625,0,0,107161,0,0,0,0,0,101604,0,146330,149139,0,0,94793,120323,144666,143690,0,0,147692,0,0
E004,Dr. Ambedkar Institute Of Technology (Aided),"Near Gnana Bharathi, Bengaluru",TC,89465,0,0,147572,0,0,89131,0,0,61945,0,0,117838,0,0,59761,142394,88258,119999,0,0,120328,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
E005,RV College of Engineering,"Mysuru Rd,Bengaluru",BT,26076,0,0,21301,0,0,0,0,0,7788,0,28478,21609,0,0,7293,28350,20605,45848,78184,0,8322,0,81761
E005,RV College of Engineering,"Mysuru Rd,Bengaluru",CE,15108,0,0,25778,0,36898,30351,75694,86853,11556,0,0,19028,0,0,10286,26990,14350,19820,0,23748,21362,0,0
E005,RV College of Engineering,"Mysuru Rd,Bengaluru",CH,88053,0,0,12604,0,0,18383,0,0,0,0,0,0,0,0,8471,0,23629,52105,0,0,89893,0,0
E005,RV College of Engineering,"Mysuru Rd,Bengaluru",CS,1025,0,1694,1011,1832,1106,3445,0,0,489,0,1539,341,0,763,183,1577,709,1851,17784,11221,2939,0,0
E005,RV College of Engineering,"Mysuru Rd,Bengaluru",EC,1485,0,5899,2272,4385,6038,2167,0,10072,1830,0,0,1878,0,5528,603,3256,3281,14808,22640,16808,3531,0,0
E005,RV College of Engineering,"Mysuru Rd,Bengaluru",EE,5376,0,0,6276,0,12244,8118,0,0,6104,0,0,4964,0,0,3247,10700,3492,15981,0,28638,0,0,0
E005,RV College of Engineering,"Mysuru Rd,Bengaluru",EI,35297,0,0,11314,0,35748,35406,0,0,6122,0,0,10647,22234,0,5341,0,9073,57079,0,77829,0,0,0
E005,RV College of Engineering,"Mysuru Rd,Bengaluru",ET,9128,0,0,11531,0,38396,12468,0,0,4819,0,0,4729,0,0,4511,12758,10466,27341,0,113471,0,0,0
E005,RV College of Engineering,"Mysuru Rd,Bengaluru",IE,885,0,0,1090,0,1169,1953,0,0,741,0,0,739,0,0,317,4167,1094,7213,0,20101,0,0,0
E005,RV College of Engineering,"Mysuru Rd,Bengaluru",IM,0,0,0,54421,0,57711,54237,0,0,26321,0,0,38954,0,0,19950,0,46568,82232,0,0,35920,0,0
E005,RV College of Engineering,"Mysuru Rd,Bengaluru",ME,6349,0,0,14686,0,22455,7456,0,0,9745,0,0,8221,0,20529,4281,17489,15465,26786,51998,31817,12011,0,0
E005,RV College of Engineering,"Mysuru Rd,Bengaluru",SE,7206,0,0,5950,0,0,19533,0,0,3862,29053,11878,7731,0,0,3052,0,8105,29560,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
E006,MS Ramaiah Institute of Technology,"MSRIT Post,Bengaluru",BT,29386,0,0,22405,0,24346,20311,0,0,26694,0,38438,21743,0,0,11893,36493,21380,55483,0,0,0,0,0
E006,MS Ramaiah Institute of Technology,"MSRIT Post,Bengaluru",CE,40031,0,0,40072,0,44921,22711,0,69666,22922,63051,0,27556,0,37347,20703,29569,32052,40254,0,64331,26379,0,0
E006,MS Ramaiah Institute of Technology,"MSRIT Post,Bengaluru",CH,92436,0,0,25497,0,0,18362,53876,0,34612,0,0,25483,0,0,17666,29635,22667,118318,0,0,0,0,82363
E006,MS Ramaiah Institute of Technology,"MSRIT Post,Bengaluru",CS,2139,9866,6778,2753,0,5173,2922,0,0,1111,0,0,1829,0,2219,962,1973,2085,6588,0,21200,11321,0,0
E006,MS Ramaiah Institute of Technology,"MSRIT Post,Bengaluru",EC,4908,0,0,5188,0,8859,2885,0,0,3235,0,9837,3888,8713,0,2844,4747,5928,12157,0,21191,12917,0,0
E006,MS Ramaiah Institute of Technology,"MSRIT Post,Bengaluru",EE,12304,0,0,12900,17253,13999,20692,0,0,10876,0,0,7103,0,0,5704,10130,10000,35530,0,37603,0,0,0
E006,MS Ramaiah Institute of Technology,"MSRIT Post,Bengaluru",EI,0,0,0,44072,0,83202,18214,0,0,11565,0,0,17978,0,0,10292,0,31769,77303,0,0,34035,0,0
E006,MS Ramaiah Institute of Technology,"MSRIT Post,Bengaluru",IE,5136,0,0,3707,0,7546,4445,0,0,2851,0,6319,2425,0,0,1547,7639,4103,21782,37814,22529,16519,0,0
E006,MS Ramaiah Institute of Technology,"MSRIT Post,Bengaluru",IM,49992,0,0,102729,0,0,98542,0,0,36086,0,0,39390,0,0,34697,0,56612,73027,0,0,0,0,0
E006,MS Ramaiah Institute of Technology,"MSRIT Post,Bengaluru",MD,30098,0,0,28675,0,122334,27719,0,0,43503,0,0,25574,0,0,19324,65453,37921,93068,0,0,0,0,0
E006,MS Ramaiah Institute of Technology,"MSRIT Post,Bengaluru",ME,49983,0,54065,42059,0,83183,24672,0,33495,19435,0,0,22216,0,47619,17713,24387,26362,70812,0,102454,60183,0,0
E006,MS Ramaiah Institute of Technology,"MSRIT Post,Bengaluru",TC,11052,0,0,18224,0,0,26804,0,0,17057,0,0,13435,0,0,9631,26338,18392,51321,0,0,0,0,86096
,,,,,,,,,,,,,,,,,,,,,,,,,,,
