CETCode,College,Location,Branch,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",AE,28469,0,0,17043,0,0,20138,0,0,15847,36817,0,18167,0,0,11575,29554,14458,31256,0,0,0,0,40624
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",AI,11061,0,0,13973,0,0,17695,0,0,7356,0,23257,9688,0,0,5872,0,11557,46113,0,0,0,0,56419
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",AU,68282,0,0,140599,0,0,101216,0,0,55072,0,0,76573,0,0,52979,68773,88561,107021,0,0,0,0,0
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",BT,28453,0,0,34640,0,60902,29477,0,0,28297,0,0,26116,0,0,23349,35629,30187,61883,0,65542,0,0,0
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",CE,83442,0,0,139439,0,0,132024,0,0,60073,0,105779,76313,0,103358,52678,78822,87424,87110,0,115079,91477,0,0
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",CH,125432,0,0,78864,0,0,38511,0,0,57580,0,0,52143,0,0,38284,0,79844,103876,0,0,91395,0,0
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",CS,7045,0,18570,6934,15412,9910,6710,0,0,4848,0,8120,4927,0,7711,4168,10193,7025,27631,60213,43308,17235,0,0
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",EC,10874,0,25998,15905,20701,21500,19276,0,30792,12174,0,0,10249,22981,14413,9137,17282,14174,49525,76227,69956,30473,0,0
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",EE,22851,0,0,33743,0,40588,39026,0,0,25890,0,0,27250,0,34986,22496,28557,34589,49853,0,97060,32470,80796,0
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",EI,99101,0,0,82567,0,131830,37013,0,0,38920,0,0,49226,0,0,32478,0,40713,82468,0,0,0,0,0
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",IE,8990,0,0,8542,0,13547,6464,0,0,6949,0,9666,9105,14104,0,5010,11343,9339,40141,0,53556,23969,0,0
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",IM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148527,0,0,0,0,0,0,0,0
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",MD,103968,0,0,86602,0,0,95881,0,0,56092,0,0,77422,0,0,55122,0,73271,140940,0,0,74534,0,0
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",ME,71928,0,0,148193,0,0,67859,0,0,56667,0,0,59820,0,105305,44936,133344,72149,141948,0,0,66827,0,0
E007,Dayananda Sagar College of Engineering,"Kumaraswamy Layout, Bengaluru",TC,0,0,0,104118,0,0,63954,0,0,53355,0,0,71267,0,0,42299,0,91340,150772,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
E008,Bangalore Institute of Technology,"Basavanagudi, Bengaluru",AI,14274,0,0,11099,0,16919,20647,0,0,7520,30828,0,8825,0,0,7187,0,14405,43912,84126,77776,0,0,0
E008,Bangalore Institute of Technology,"Basavanagudi, Bengaluru",CE,104751,0,0,141774,0,0,99560,0,0,71524,0,123028,107350,0,137025,68185,111753,115024,129260,0,0,92383,0,0
E008,Bangalore Institute of Technology,"Basavanagudi, Bengaluru",CS,5751,0,14396,7955,15522,9954,10725,0,21155,5605,0,0,6074,0,10843,4277,8876,7697,25205,48451,33358,14473,0,0
E008,Bangalore Institute of Technology,"Basavanagudi, Bengaluru",EC,17544,0,26689,16021,0,18075,29218,0,0,11745,0,0,12736,0,13510,9889,18830,12781,40515,0,81538,20281,0,0
E008,Bangalore Institute of Technology,"Basavanagudi, Bengaluru",EE,38833,79371,0,37474,0,38110,48847,0,0,25027,0,0,27015,0,0,23335,0,30504,52385,0,0,32948,0,79119
E008,Bangalore Institute of Technology,"Basavanagudi, Bengaluru",EI,132664,0,0,110060,0,0,49428,0,0,62279,0,0,47319,0,0,43583,50769,133726,108944,0,0,0,0,0
E008,Bangalore Institute of Technology,"Basavanagudi, Bengaluru",ET,85065,0,0,31245,0,0,35765,0,0,32904,0,0,25754,0,0,22379,48714,34588,124553,0,0,133184,0,0
E008,Bangalore Institute of Technology,"Basavanagudi, Bengaluru",IE,8219,0,0,9593,0,11328,11655,0,151367,6663,0,9331,7176,16473,0,6027,10665,9162,38197,0,57260,23990,0,0
E008,Bangalore Institute of Technology,"Basavanagudi, Bengaluru",IM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147025,0,0,0,0,0,0,0,0
E008,Bangalore Institute of Technology,"Basavanagudi, Bengaluru",ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150473,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
E009,PES University (Ring Road Campus),"Banashankari, Bengaluru",BT,61726,0,0,30288,0,0,13185,0,0,18251,0,0,29521,0,0,6039,0,44021,45264,0,90756,30754,0,0
E009,PES University (Ring Road Campus),"Banashankari, Bengaluru",CE,36302,0,0,43880,0,0,40761,0,0,0,0,0,28794,0,0,27008,62989,38806,45238,0,0,38176,0,52080
E009,PES University (Ring Road Campus),"Banashankari, Bengaluru",CS,5058,32184,11861,3190,10907,7434,4217,39843,5660,1812,0,5407,1774,6480,3905,904,6296,3200,16818,35907,33097,14879,0,18118
E009,PES University (Ring Road Campus),"Banashankari, Bengaluru",EC,7006,0,17196,7192,28526,12493,7649,0,26178,4012,0,11862,5146,12992,9760,3022,10456,8961,34908,48617,59521,12100,0,0
E009,PES University (Ring Road Campus),"Banashankari, Bengaluru",EE,11284,0,0,18676,0,19570,16564,0,0,12083,0,20329,14159,0,0,9983,13589,14351,78926,0,98244,17604,42779,0
E009,PES University (Ring Road Campus),"Banashankari, Bengaluru",ME,46169,0,0,54869,0,128383,106376,0,0,40922,0,0,40889,0,0,19900,44755,64658,128456,0,0,37180,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
E010,Islamia Institute of Technology,"Hulimavu, Bengaluru",CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E010,Islamia Institute of Technology,"Hulimavu, Bengaluru",CS,0,0,0,151990,0,0,92252,0,0,117019,0,0,113668,0,0,86310,130674,109779,112496,0,0,0,0,0
E010,Islamia Institute of Technology,"Hulimavu, Bengaluru",EC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121862,0,0,0,0,0,0,0,0
E010,Islamia Institute of Technology,"Hulimavu, Bengaluru",ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
E011,MVJ College of Engineering,"Kadugodi, Bengaluru",AE,0,0,0,148918,0,0,83481,0,0,131039,0,137428,72112,0,0,63884,104139,134952,143523,0,0,82427,0,0
E011,MVJ College of Engineering,"Kadugodi, Bengaluru",AI,0,0,0,44160,0,59679,85808,0,0,41357,0,0,41775,0,0,40044,0,46107,120155,0,0,60242,0,0
E011,MVJ College of Engineering,"Kadugodi, Bengaluru",CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152348,0,0,0,0,0,0,0,0
E011,MVJ College of Engineering,"Kadugodi, Bengaluru",CH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140720,0,0,0,0,0,0,0,0
E011,MVJ College of Engineering,"Kadugodi, Bengaluru",CS,29539,0,71800,31649,43733,35053,42981,0,64904,24330,0,0,28308,0,34796,23555,32709,30508,103195,0,123940,76859,0,0
E011,MVJ College of Engineering,"Kadugodi, Bengaluru",DS,59961,0,0,78971,0,0,49644,0,0,44750,0,0,47779,0,0,38069,0,58755,112985,0,0,152252,0,0
E011,MVJ College of Engineering,"Kadugodi, Bengaluru",EC,62780,0,0,142108,0,0,100203,0,0,57987,0,0,81755,0,124544,48160,70819,61785,151435,0,0,83683,0,0
E011,MVJ College of Engineering,"Kadugodi, Bengaluru",EE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152180,0,0,0,0,0,0,0,0
E011,MVJ College of Engineering,"Kadugodi, Bengaluru",IE,43199,0,0,50221,0,70566,50497,0,0,34264,0,48716,38025,0,0,32682,67897,45830,136698,0,0,114626,0,0
E011,MVJ College of Engineering,"Kadugodi, Bengaluru",ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128936,0,0,0,0,0,0,0,0
E011,MVJ College of Engineering,"Kadugodi, Bengaluru",SE,0,0,0,99960,0,0,111824,0,0,87751,0,0,86158,0,0,68910,149026,0,94814,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
E012,Sir M.Visveswaraya Institute of Technology,"Hunasemaranahalli,Bengaluru",BT,0,0,0,36938,0,0,51103,0,0,35463,0,108459,40749,0,0,24479,0,48286,81193,0,0,59666,0,128586
E012,Sir M.Visveswaraya Institute of Technology,"Hunasemaranahalli,Bengaluru",CE,118620,0,0,140356,0,0,0,0,0,81238,0,131567,77393,0,0,73660,135623,126431,105276,0,0,0,0,0
E012,Sir M.Visveswaraya Institute of Technology,"Hunasemaranahalli,Bengaluru",CS,19789,0,0,13646,0,15911,15909,0,53275,8155,0,0,9963,28540,0,8141,15808,10888,39953,0,48754,20746,0,0
E012,Sir M.Visveswaraya Institute of Technology,"Hunasemaranahalli,Bengaluru",EC,15567,0,28002,24388,46293,27512,33136,0,0,15477,0,0,16530,0,24247,15121,25994,18877,64721,0,78087,28700,0,0
E012,Sir M.Visveswaraya Institute of Technology,"Hunasemaranahalli,Bengaluru",EE,63086,0,95835,74720,0,99907,67128,0,0,46985,0,0,51313,0,0,40709,47700,61321,145455,0,0,56443,0,0
E012,Sir M.Visveswaraya Institute of Technology,"Hunasemaranahalli,Bengaluru",IE,10536,0,0,15972,70353,17277,20908,0,0,11686,0,0,13591,0,0,10278,28714,11589,58053,0,96038,0,0,0
E012,Sir M.Visveswaraya Institute of Technology,"Hunasemaranahalli,Bengaluru",ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148439,0,0,0,0,0,0,0,0
E012,Sir M.Visveswaraya Institute of Technology,"Hunasemaranahalli,Bengaluru",TC,0,0,0,87396,0,0,0,0,0,57691,0,0,117071,0,0,49303,0,131244,133445,0,0,49589,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
E013,Ghousia Engineering College,"Vijaya Nagar, Ramanagara",CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E013,Ghousia Engineering College,"Vijaya Nagar, Ramanagara",CS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128217,0,0,0,0,0,0,0,0
E013,Ghousia Engineering College,"Vijaya Nagar, Ramanagara",EC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E013,Ghousia Engineering College,"Vijaya Nagar, Ramanagara",EE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98385,0,0,0,0,0,0,0,0
E013,Ghousia Engineering College,"Vijaya Nagar, Ramanagara",ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
E014,SJC Institute of Technology,"BB Rd, Chickaballapur",AE,130059,0,0,90123,0,0,109777,0,0,113032,0,0,90329,0,0,79883,0,106419,115370,0,122886,0,0,0
E014,SJC Institute of Technology,"BB Rd, Chickaballapur",CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153255,0,0,0,0,0,0,0,0
E014,SJC Institute of Technology,"BB Rd, Chickaballapur",CS,34303,0,90572,38433,0,59842,52062,0,0,34410,0,0,42977,0,63177,29914,39519,36451,88025,0,88393,56962,0,0
E014,SJC Institute of Technology,"BB Rd, Chickaballapur",EC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140414,0,0,0,0,0,0,0,0
E014,SJC Institute of Technology,"BB Rd, Chickaballapur",IE,63664,0,73341,56539,80600,66494,52908,0,0,50343,0,0,47074,0,0,44964,56577,60710,143564,0,0,63952,0,0
E014,SJC Institute of Technology,"BB Rd, Chickaballapur",ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138859,0,0,0,0,0,0,0,0
E014,SJC Institute of Technology,"BB Rd, Chickaballapur",SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142634,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
E015,Dr.T.Thimmaiah Institute of Technology,"KGF,Kolar",CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152304,0,0,0,0,0,0,0,0
E015,Dr.T.Thimmaiah Institute of Technology,"KGF,Kolar",CS,142463,0,0,126844,0,0,145947,0,0,148994,0,0,125116,0,0,102026,139739,113311,149925,0,0,139313,0,0
E015,Dr.T.Thimmaiah Institute of Technology,"KGF,Kolar",EC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151481,0,0,0,0,0,0,0,0
E015,Dr.T.Thimmaiah Institute of Technology,"KGF,Kolar",EE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151667,0,0,0,0,0,0,0,0
E015,Dr.T.Thimmaiah Institute of Technology,"KGF,Kolar",ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153405,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
E016,Siddaganga Institute of Technology,"Bangalore - Honnavar Rd,Tumkur",AD,0,0,0,11220,0,0,0,0,0,0,0,14356,0,0,0,6709,40338,13051,44834,0,0,52640,0,0
E016,Siddaganga Institute of Technology,"Bangalore - Honnavar Rd,Tumkur",BT,49712,0,0,27136,0,0,0,0,0,0,0,60029,0,0,0,25082,0,32572,53372,0,0,28444,0,0
E016,Siddaganga Institute of Technology,"Bangalore - Honnavar Rd,Tumkur",CE,57062,0,92666,39883,0,0,120969,0,0,35008,61955,0,38178,0,0,31972,54346,37688,43334,0,0,0,0,0
E016,Siddaganga Institute of Technology,"Bangalore - Honnavar Rd,Tumkur",CH,111510,0,0,85282,0,0,130020,0,0,68368,0,0,79326,0,106521,60554,0,64033,122817,0,0,141537,0,0
E016,Siddaganga Institute of Technology,"Bangalore - Honnavar Rd,Tumkur",CS,6365,20968,0,8425,0,10617,12737,0,26874,5850,0,0,6067,0,9592,5426,14288,7748,26504,0,28613,16641,0,0
E016,Siddaganga Institute of Technology,"Bangalore - Honnavar Rd,Tumkur",EC,10516,0,0,15478,0,27435,19800,0,0,9017,0,0,10094,17399,14205,8997,13458,12508,35017,0,43413,19260,0,0
E016,Siddaganga Institute of Technology,"Bangalore - Honnavar Rd,Tumkur",EE,30446,0,0,28610,74821,30042,19602,0,0,21267,0,0,19689,0,0,15859,33563,25279,42549,0,64447,0,0,0
E016,Siddaganga Institute of Technology,"Bangalore - Honnavar Rd,Tumkur",EI,54540,0,0,46144,0,0,33749,0,0,28854,0,0,28226,0,0,25977,38764,28954,111108,0,0,0,0,63310
E016,Siddaganga Institute of Technology,"Bangalore - Honnavar Rd,Tumkur",IE,7986,0,0,8999,26854,13181,10552,0,0,8554,0,0,6490,0,0,6227,0,10745,29771,0,38501,0,0,0
E016,Siddaganga Institute of Technology,"Bangalore - Honnavar Rd,Tumkur",IM,0,0,0,126453,0,0,98625,0,0,100363,0,0,80167,0,0,69471,138478,85918,120252,0,0,0,0,0
E016,Siddaganga Institute of Technology,"Bangalore - Honnavar Rd,Tumkur",ME,73064,0,78458,95816,0,0,149397,0,0,56579,0,0,53270,0,62148,42119,116229,57402,140016,0,0,51337,0,0
E016,Siddaganga Institute of Technology,"Bangalore - Honnavar Rd,Tumkur",TC,22807,0,0,25880,0,48152,26293,0,0,21379,0,0,22893,0,0,18949,0,21926,71554,0,115639,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
E017,Sri Siddartha Institute of Technology,"Tumkur-Kunigal Rd, Saraswathipuram, Tumkur",CE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151544,0,0,0,0,0,0,0,0
E017,Sri Siddartha Institute of Technology,"Tumkur-Kunigal Rd, Saraswathipuram, Tumkur",CS,144067,0,0,60364,0,94721,48923,0,81563,36477,101581,81996,41858,0,0,34905,54531,54502,146651,0,0,70266,0,0
E017,Sri Siddartha Institute of Technology,"Tumkur-Kunigal Rd, Saraswathipuram, Tumkur",EC,134408,0,0,142547,0,0,133266,0,0,119767,0,0,143243,0,0,87900,107694,145227,136734,0,0,130440,0,0
E017,Sri Siddartha Institute of Technology,"Tumkur-Kunigal Rd, Saraswathipuram, Tumkur",EE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148113,0,0,0,0,0,0,0,0
E017,Sri Siddartha Institute of Technology,"Tumkur-Kunigal Rd, Saraswathipuram, Tumkur",ET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138201,0,0,0,0,0,0,0,0
E017,Sri Siddartha Institute of Technology,"Tumkur-Kunigal Rd, Saraswathipuram, Tumkur",IE,97406,0,0,138138,0,0,86759,0,0,77505,0,0,108007,0,0,70130,71671,138897,134796,0,0,97550,0,0
E017,Sri Siddartha Institute of Technology,"Tumkur-Kunigal Rd, Saraswathipuram, Tumkur",IM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
